15 основных задач гражданской обороны не включают,вакцинацию населения в случае угрозы возникновения эпидемии
15 основных задач гражданской обороны не включают,"Первоочередное жизнеобеспечение сельскохозяйственных животных при военных конфликтах вследствие этих конфликтов, а также при чрезвычайных ситуациях природного и техногенного характера"
POS-кредит - это,"Кредит, выдаваемый непосредственного в магазине"
Автокредит – это,кредит под залог автомобиля
Автором произведения не может признаваться,Искусственный интеллект
Административное задержание осуществляется на срок,"Не более 3 часов, но в исключительных случаев - до 48 часов"
"Асимметрия информации предполагает, что","одна из сторон сделки более осведомлена о ней, чем другая сторона"
Банковский вклад как форма хранения сбережений характеризуется,высокой ликвидностью
Банковский вклад как форма хранения сбережений характеризуется,Низкой доходностью
Банковский вклад как форма хранения сбережений характеризуется,низкой минимальной суммой
Банковский вклад как форма хранения сбережений характеризуется,низкой рискованностью
В какой системе ацетилхолин является основным медиатором?,Парасимпатическая нервная система
В качестве изобретения не могут охраняться,Способы клонирования человека 
В качестве полезной модели правовая охрана может быть предоставлена,Устройству
В процессе административного задержания сотрудник полиции не обязан,В обязательном порядке сообщить о факте задержания администрации по месту работы или учебы задержанного гражданина 
"В случае задержки выплаты заработной платы работник вправе
","не выходить на работу, письменно уведомив об этом работодателя "
В случае применения упрощенной системы налогообложения для обложения доходов за вычетом расходов применяется ставка в размере,15%
В случае применения упрощенной системы налогообложения для обложения доходов применяется ставка в размере,6%
В состав биосферы Земли входят,Гидросфера
"В стандартной модели принятия экономических решений в наиболее общем случае предполагается, что лицо, принимающее решение",Максимизирует некоторую функцию при некоторых ограничениях
"В стандартной модели принятия экономических решений лицо, принимающее решение предполагается",рациональным и независимым
"В стандартной модели принятия экономических решений лицо, принимающее решение предполагается",Рациональным и независимым
"В стандартной модели принятия экономических решений предполагается, что информация",совершенна
"В том случае, если одна из сторон сделки более осведомлена о ней, чем другая сторона, наблюдается",асимметрия информации
В чем недостаток парадигмы ПДК и ПДУ?,Ограниченное число измеряемых показателей среды
"Вам одиноко, и вы решаете прийти в компанию людей, которые сегодня собираются по случаю дню рождения (звали всех знакомых оптом в посте).",Ошибка предсказания
"Вам одиноко, и вы решаете прийти в компанию людей, которые сегодня собираются по случаю дню рождения (звали всех знакомых оптом в посте). Еще до прихода у вас в голове проносятся следующие мысли: «Они все друг друга хорошо знают, меня никто не заметит. Этот вечер будет испорчен. Зачем себя мучать». Вскоре после прихода вам захотелось уйти, а в голову пришли следующие мысли «Они мне не рады, меня игнорируют, хотят показать, что я здесь чужой». Ваши ошибки включают",ошибка предсказания
"Ваш друг не поддержал вас в трудной ситуации, объяснив это тем, что не знает, как вам помочь. Ваши мысли после его отказа были следующими: «Значит, он мне не настоящий друг. Настоящие друзья помогают всегда. В следующий раз он скорей всего тоже откажет». Ваши когнитивные искажения включают:",поспешные выводы (негативный прогноз)
